Date,Sites
2017-06-08,"LMAT,MAT"
2017-06-12,"DHT,HST,WSG1,WSG23"
2017-06-15,"DHT,LMAT,MAT,SHB1,SHB2"
2017-06-17,"MNAT,NANT"
2017-06-19,"HST,WSG23"
2017-06-26,"LMAT,MAT,WSG1"
2017-06-27,"DHT,HST"
2017-07-04,"LMAT,MAT,WSG1"
2017-07-06,"DHT,WSG23"
2017-07-07,"HST,MNAT,NANT,SHB1,SHB2"
2017-07-13,"DHT,LMAT,MAT,WSG1,WSG23"
2017-07-14,"HST,MNAT,NANT,SHB1,SHB2"
2017-07-19,HST
2017-07-21,"LMAT,MAT,WSG1"
2017-07-25,"DHT,WSG23"
2017-07-27,"LMAT,MAT,MNAT,NANT,WSG1"
2017-07-28,HST
2017-07-31,"LMAT,MAT,WSG1"
2017-08-04,"DHT,HST,WSG23"
2017-08-05,"MNAT,NANT"
2017-08-07,SHB1
2017-08-10,"DHT,LMAT,MAT,WSG1,WSG23"
2017-08-22,"LMAT,MAT"
